athlete,country,Loading_Race,Deadlift,Overhead_Medley,Titan_s_Toss,Stone_Medley
R. Nel,RSA,4 in 42.36 s,8 reps,5 in 36.81 s,8 in 29.41 s,4 in 62.00 s
S. Flowers,GBR,4 in 40.13 s,6 reps,5 in 52.74 s,8 in 23.38 s,1 in 11.38 s
L. Hatton,USA,4 in 48.09 s,7 reps,6 in 47.41 s,8 in 44.06 s,1 in 16.72 s
E. Aryee,GHA,4 in 44.90 s,7 reps,5 in 48.91 s,6 in 23.66 s,1 in 13.47 s
M. Kieliszkowski,POL,4 in 46.28 s,0 reps,4 in 26.25 s,7 in 31.97 s,(Withdrew)
