athlete,country,Carry_Climb,Overhead_Medley,Squat_Lift,Truck_Pull,Stone_Medley
R. Nel,RSA,9 in 37.06 s,4 in 26.11 s,13 reps,35.03 s,4 in 43.70 s
N. Guardione,USA,9 in 43.91 s,5 in 44.50 s,6 reps,37.69 s,4 in 74.34 s
L. Richardson,GBR,9 in 60.34 s,5 in 53.29 s,16 reps,38.91 s,2 + 6.10 m
B. Glasscock,GBR,9 in 65.68 s,6 in 62.78 s,10 reps,42.06 s,4 in 107.82 s
T. Hoath,CAN,9 in 46.78 s,2 in 16.84 s,7 reps,43.00 s,4 in 80.25 s
