athlete,country,Carry_Climb,Overhead_Medley,Squat_Lift,Truck_Pull,Stone_Medley
P. Kordiyaka,UKR,6 in 74.05 s,6 in 59.85 s,14 reps,37.66 s,4 in 67.00 s
T. Mitchell,USA,22 m,8 in 71.72 s,15 reps,39.03 s,4 in 72.75 s
A. Flynn,GBR,9 in 51.95 s,6 in 63.56 s,12 reps,35.78 s,4 in 97.66 s
E. Singleton,USA,9 in 38.58 s,7 in 73.61 s,8 reps,39.97 s,1 + 13.40 m
E. Aryee,GHA,9 in 54.62 s,4 in 69.36 s,12 reps,39.16 s,0 in 120.00 s
