athlete,country,Webster_Stones,Deadlift_Ladder,Sandbag_Steeplechase,Viking_Press,Car_Walk,Stone_Off
E. Singleton,USA,40 m,5 in 44.50 s,6 in 71.10 s,16 reps,(N/A),(Qualified)
P. Kordiyaka,UKR,25.78 m,3 in 26.64 s,6 in 57.58 s,14 reps,29.89 s,5 stones
M. Crowder,USA,35.92 m,4 in 43.70 s,4 in 36.65 s,12 reps,22.23 s,5 stones
K. Francis,GBR,21.38 m,4 in 26.98 s,4 in 36.23 s,12 reps,23.56 s,(Eliminated)
E. Aryee,GHA,20.16 m,4 in 31.59 s,5 in 61.82 s,8 reps,18.36 s,(Eliminated)
R. Heinla,EST,27.55 m,5 in 40.27 s,4 in 59.13 s,9 reps,8.75 m,(Eliminated)
