athlete,country,Carry_Climb,Overhead_Medley,Squat_Lift,Truck_Pull,Stone_Medley
A. Andrade,MEX,9 in 53.85 s,6 in 59.33 s,16 reps,34.69 s,4 in 101.41 s
M. Ragg,NZL,9 in 38.29 s,5 in 61.15 s,15 reps,38.69 s,3 in 82.35 s
J. Schoonwinkel,RSA,9 in 38.80 s,3 in 42.16 s,10 reps,37.94 s,4 in 60.65 s
T. Stoltman,GBR,9 in 70.21 s,5 in 50.76 s,12 reps,37.59 s,3 in 50.16 s
L. Strong,USA,9 in 51.84 s,4 in 70.35 s,5 reps,34.84 s,3 in 100.73 s
