athlete,country,Webster_Stones,Deadlift_Ladder,Sandbag_Steeplechase,Viking_Press,Car_Walk,Stone_Off
T. Stoltman,GBR,29.74 m,5 in 46.48 s,6 in 53.69 s,14 reps,2.7 m,(Qualified)
W. Derwinsky,CAN,29.36 m,5 in 45.90 s,5 in 57.23 s,13 reps,22.59 s,8 stones
J. Schoonwinkel,RSA,31.75 m,4 in 29.87 s,6 in 68.39 s,12 reps,28.41 s,8 stones
A. Roszkowski,POL,22.62 m,3 in 37.35 s,5 in 65.76 s,14 reps,22.43 s,(Eliminated)
N. Goltry,USA,24.56 m,4 in 48.12 s,6 in 74.95 s,13 reps,36.98 s,(Eliminated)
B. Thompson,USA,20 m,(Withdrew),(Withdrew),(Withdrew),(Withdrew),(Eliminated)
