athlete,country,Webster_Stones,Deadlift_Ladder,Sandbag_Steeplechase,Viking_Press,Car_Walk,Stone_Off
M. Ragg,NZL,21.93 m,5 in 30.72 s,6 in 60.10 s,12 reps,19.17 s,(Qualified)
A. Šmaukstelis,LAT,32.56 m,4 in 35.88 s,4 in 43.85 s,14 reps,17.07 s,1 stone
T. Evans,USA,21.66 m,5 in 52.53 s,3 in 35.46 s,17 reps,55.58 s,1 stone
A. Bishop,GBR,35.29 m,5 in 27.17 s,5 in 58.70 s,7 reps,15.2 m,(Withdrew)
R. Kearney,USA,20.35 m,3 in 29.20 s,5 in 72.10 s,11 reps,12.07 s,(Eliminated)
P. O'Dwyer,IRL,16.65 m,4 in 40.11 s,5 in 66.62 s,7 reps,(No lift),(Eliminated)
