athlete,country,Loading_Race,Deadlift,Overhead_Medley,Titan_s_Toss,Stone_Medley
T. Mitchell,USA,4 in 49.38 s,10 reps,7 in 60.54 s,6 in 27.22 s,4 in 73.56 s
O. Fojtů,CZE,4 in 42.55 s,5 reps,7 in 60.21 s,3 in 11.41 s,3 in 61.34 s
M. Boudreault,CAN,4 in 42.81 s,1 rep,6 in 57.99 s,10 in 46.91 s,1 in 9.81 s
T. Hoath,CAN,4 in 51.60 s,8 reps,6 in 73.70 s,7 in 29.75 s,3 in 64.10 s
L. Richardson,GBR,2 in 13.53 s,(Withdrew),(Withdrew),(Withdrew),(Withdrew)
