athlete,country,Carry_Climb,Overhead_Medley,Squat_Lift,Truck_Pull,Stone_Medley
O. Fojtů,CZE,9 in 38.22 s,8 in 64.87 s,10 reps,37.94 s,4 in 80.83 s
M. Licis,LAT,9 in 46.08 s,6 in 63.21 s,14 reps,36.09 s,4 in 92.22 s
J. Jeffers,CAN,9 in 43.91 s,4 in 44.52 s,8 reps,38.28 s,3 in 84.67 s
B. Johnson,USA,9 in 41.53 s,4 in 40.97 s,9 reps,(Withdrew),(Withdrew)
K. Hazeleger,NED,9 in 45.78 s,3 in 29.97 s,2 reps,(Withdrew),(Withdrew)
