athlete,country,Webster_Stones,Deadlift_Ladder,Sandbag_Steeplechase,Viking_Press,Car_Walk,Stone_Off
T. Hoath,CAN,31.38 m,5 in 49.68 s,6 in 63.36 s,15 reps,23.20 s,(Qualified)
L. Stoltman,GBR,33.12 m,4 in 30.86 s,6 in 64.16 s,11 reps,24.14 s,9 stones
E. Williams,AUS,46.45 m,5 in 58.07 s,5 in 57.95 s,10 reps,14.06 s,8 stones
T. Mitchell,USA,12.78 m,4 in 49.72 s,6 in 73.92 s,16 reps,16.77 m,(Eliminated)
K. Faires,USA,32.59 m,4 in 42.35 s,5 in 58.33 s,11 reps,12.91 m,(Eliminated)
O. Ziółkowski,POL,10.66 m,3 in 46.35 s,4 in 54.85 s,10 reps,0.52 m,(Eliminated)
