athlete,country,Loading_Race,Deadlift,Overhead_Medley,Titan_s_Toss,Stone_Medley
T. Stoltman,GBR,4 in 38.71 s,7 reps,7 in 56.95 s,10 in 31.97 s,2 in 65.88 s
E. Williams,AUS,4 in 44.70 s,7 reps,4 in 41.11 s,8 in 35.66 s,2 + 8.87 m
J. Schoonwinkel,RSA,4 in 50.34 s,6 reps,5 in 66.86 s,7 in 25.03 s,1 in 12.44 s
T. Evans,USA,4 in 48.58 s,6 reps,7 in 65.11 s,7 in 29.06 s,0 in 90.00 s
A. Andrade,MEX,4 in 53.33 s,5 reps,7 in 73.81 s,7 in 31.28 s,4 in 85.69 s
