athlete,country,Loading_Race,Deadlift,Overhead_Medley,Titan_s_Toss,Stone_Medley
L. Stoltman,GBR,4 in 41.21 s,2 reps,6 in 49.98 s,9 in 34.81 s,3 in 69.34 s
P. Kordiyaka,UKR,4 in 38.61 s,4 reps,6 in 46.35 s,4 in 12.81 s,2 in 69.88 s
N. Guardione,USA,4 in 41.34 s,4 reps,5 in 67.85 s,8 in 28.38 s,3 in 71.84 s
A. Flynn,GBR,4 in 45.66 s,6 reps,5 in 46.99 s,6 in 20.16 s,1 in 70.94 s
E. Singleton,USA,2 in 14.25 s,(Withdrew),(Withdrew),(Withdrew),(Withdrew)
