athlete,country,Max_Deadlift,Timber_Carry,Webster_Stones,Apollon_s_Wheels,Stones_of_Strength
M. Hooper,CAN,3,1,1,1,2
M. Kieliszkowski,POL,9,3,4,T2,1
T. Stoltman,GBR,5,6,5,T2,3
H. Björnsson,ISL,1,2,2,T4,DNS
B. Thompson,USA,2,9,7,T4,5
O. Novikov,UKR,6,7,6,DNS,4
E. Singleton,USA,4,5,3,DNS,DNS
M. Licis,USA,8,4,8,T4,DNS
T. Evans,USA,7,10,9,DNS,DNS
O. Ziółkowski,POL,10,8,10,DNS,DNS
M. Boudreault,CAN,DNS,DNS,DNS,DNS,DNS
