athlete,country,Webster_Stones,Deadlift_Ladder,Sandbag_Steeplechase,Viking_Press,Car_Walk,Stone_Off
M. Ragg,NZL,3,2,1,3,3,DNS
A. Šmaukstelis,LAT,2,4,5,2,2,DNS
T. Evans,USA,4,3,6,1,4,DNS
A. Bishop,GBR,1,1,2,T5,5,DNS
R. Kearney,USA,5,6,4,4,1,DNS
P. O'Dwyer,IRL,6,5,3,T5,DNS,DNS
