athlete,country,Webster_Stones,Deadlift_Ladder,Sandbag_Steeplechase,Viking_Press,Car_Walk,Stone_Off
T. Stoltman,GBR,2,2,1,T1,5,DNS
W. Derwinsky,CAN,3,1,4,T3,2,DNS
J. Schoonwinkel,RSA,1,3,2,5,3,DNS
A. Roszkowski,POL,5,5,5,T1,1,DNS
N. Goltry,USA,4,4,3,T3,4,DNS
B. Thompson,USA,6,DNS,DNS,DNS,DNS,DNS
