athlete,country,Webster_Stones,Deadlift_Ladder,Sandbag_Steeplechase,Viking_Press,Car_Walk,Stone_Off
T. Hoath,CAN,4,1,1,2,2,DNS
L. Stoltman,GBR,2,3,2,T3,3,DNS
E. Williams,AUS,1,2,4,T5,1,DNS
T. Mitchell,USA,5,5,3,1,4,DNS
K. Faires,USA,3,4,5,T3,5,DNS
O. Ziółkowski,POL,6,6,6,T5,6,DNS
