athlete,country,Giant_s_Medley,Max_Axle_Press,Keg_Toss,Conan_s_Wheel,Tire_Deadlift,Atlas_Stones
T. Stoltman,GBR,3,T1,T1,3,T2,1
M. Hooper,CAN,6,T1,T1,2,T4,2
E. Singleton,USA,1,T4,4,7,7,6
M. Ragg,NZL,7,8,T5,4,1,5
T. Hoath,CAN,5,7,9,6,T2,3
W. Derwinsky,CAN,4,DNS,T1,5,T4,8
A. Andrade,MEX,2,T4,T7,9,T4,7
P. Kordiyaka,UKR,10,3,DNS,1,10,4
L. Stoltman,GBR,8,T4,T7,8,8,10
A. Šmaukstelis,LAT,9,DNS,T5,10,9,9
