athlete,country,Loading_Race,Deadlift,Overhead_Medley,Titan_s_Toss,Stone_Medley
T. Mitchell,USA,3,1,2,3,1
O. Fojtů,CZE,1,3,1,4,2
M. Boudreault,CAN,2,4,3,1,4
T. Hoath,CAN,4,2,4,2,3
L. Richardson,GBR,5,DNS,DNS,DNS,DNS
