athlete,country,Webster_Stones,Deadlift_Ladder,Sandbag_Steeplechase,Viking_Press,Car_Walk,Stone_Off
M. Hooper,CAN,T1,1,1,2,4,DNS
A. Andrade,MEX,3,2,3,5,2,DNS
O. Fojtů,CZE,T1,3,2,1,5,DNS
S. Remick,USA,4,6,4,T3,1,DNS
N. Cambi,ITA,6,5,DNS,T3,3,DNS
G. Bilton,GBR,5,4,5,DNS,DNS,DNS
