athlete,country,Webster_Stones,Deadlift_Ladder,Sandbag_Steeplechase,Viking_Press,Car_Walk,Stone_Off
E. Singleton,USA,1,2,2,1,DNS,DNS
P. Kordiyaka,UKR,4,6,1,2,4,DNS
M. Crowder,USA,2,5,5,T3,2,DNS
K. Francis,GBR,5,3,4,T3,3,DNS
E. Aryee,GHA,6,4,3,6,1,DNS
R. Heinla,EST,3,1,6,5,5,DNS
