athlete,country,Max_Deadlift,Dumbbell_Press,Stone_to_Shoulder,Carry_Drag,Austrian_Oak,Loading_Race
M. Hooper,CAN,1,T1,4,4,T4,9
A. Andrade,USA,2,T3,1,8,T4,6
M. Licis,USA,7,7,2,1,6,3
T. Mitchell,USA,5,T3,5,9,1,5
L. Hatton,USA,4,T1,DNS,7,T2,4
B. Johnson,USA,3,DNS,3,2,T7,7
T. Evans,USA,6,T5,6,5,T2,8
N. Guardione,USA,9,T5,7,3,T7,1
A. Burton,USA,8,DNS,DNS,6,DNS,2
