athlete,country,Max_Deadlift,Carry_Press,Inver_Stones,Load_Drag,Super_Medley,Overhead_Medley
M. Hooper,CAN,2,2,2,3,1,2
H. Björnsson,ISL,1,9,1,2,4,5
T. Stoltman,GBR,7,3,3,1,5,3
E. Singleton,USA,T4,4,5,5,2,4
L. Stoltman,GBR,8,5,6,6,8,1
T. Evans,USA,6,1,10,10,3,6
M. Ragg,NZL,3,6,8,9,6,7
B. Thompson,USA,T4,7,9,7,7,8
P. Kordiyaka,UKR,10,8,4,4,10,T9
T. Hoath,CAN,9,10,7,8,9,T9
