athlete,country,Carry_Climb,Overhead_Medley,Squat_Lift,Truck_Pull,Stone_Medley
A. Andrade,MEX,4,1,1,1,2
M. Ragg,NZL,1,3,2,5,4
J. Schoonwinkel,RSA,2,5,4,4,1
T. Stoltman,GBR,5,2,3,3,3
L. Strong,USA,3,4,5,2,5
