athlete,country,Carry_Climb,Overhead_Medley,Squat_Lift,Truck_Pull,Stone_Medley
O. Fojtů,CZE,1,1,2,2,1
M. Licis,LAT,5,2,1,1,2
J. Jeffers,CAN,3,4,4,3,3
B. Johnson,USA,2,3,3,DNS,DNS
K. Hazeleger,NED,4,5,5,DNS,DNS
