athlete,country,Prelim_Score,Flip_Carry,Deadlift,Titan_s_Toss,Max_Log_Lift,Atlas_Stones
M. Hooper,CAN,1,2,T2,2,T2,2
R. Nel,RSA,2,1,1,1,4,5
T. Mitchell,USA,T7,8,T5,7,1,1
P. Kordiyaka,UKR,6,3,DNS,4,T5,4
O. Fojtů,CZE,5,5,7,9,T2,6
M. Licis,LAT,T7,7,T5,6,T5,3
M. Ragg,NZL,9,6,T2,5,T5,8
E. Williams,AUS,4,4,4,8,DNS,9
N. Guardione,USA,10,10,T8,3,T5,7
A. Andrade,MEX,3,9,T8,DNS,DNS,DNS
