athlete,country,Loading_Race,Deadlift,Overhead_Medley,Titan_s_Toss,Stone_Medley
R. Nel,RSA,2,1,2,2,1
S. Flowers,GBR,1,4,4,1,2
L. Hatton,USA,5,T2,1,3,4
E. Aryee,GHA,3,T2,3,5,3
M. Kieliszkowski,POL,4,DNS,5,4,DNS
