athlete,country,Carry_Climb,Overhead_Medley,Squat_Lift,Truck_Pull,Stone_Medley
R. Nel,RSA,1,4,2,1,1
N. Guardione,USA,2,2,5,2,2
L. Richardson,GBR,4,3,1,3,5
B. Glasscock,GBR,5,1,3,4,4
T. Hoath,CAN,3,5,4,5,3
