athlete,country,Loading_Race,Deadlift,Overhead_Medley,Titan_s_Toss,Stone_Medley
M. Hooper,CAN,1,T2,1,3,1
P. Haynes,GBR,2,1,3,4,2
B. Johnson,USA,5,T2,2,5,3
W. Derwinsky,CAN,4,T2,4,1,DNS
M. Ragg,NZL,3,T2,5,2,DNS
