athlete,country,Carry_Climb,Overhead_Medley,Squat_Lift,Truck_Pull,Stone_Medley
M. Hooper,CAN,2,2,2,1,1
E. Williams,AUS,1,3,3,4,2
L. Hatton,USA,5,1,1,3,5
M. Funiok,CZE,4,4,4,2,3
P. Haynes,GBR,3,5,5,5,4
