athlete,country,Loading_Race,Deadlift,Overhead_Medley,Titan_s_Toss,Stone_Medley
T. Stoltman,GBR,1,T1,1,1,3
E. Williams,AUS,2,T1,5,2,2
J. Schoonwinkel,RSA,4,T3,4,3,4
T. Evans,USA,3,T3,2,4,DNS
A. Andrade,MEX,5,5,3,5,1
