athlete,country,Carry_Climb,Overhead_Medley,Squat_Lift,Truck_Pull,Stone_Medley
P. Kordiyaka,UKR,4,3,2,2,1
T. Mitchell,USA,5,1,1,3,2
A. Flynn,GBR,2,4,T3,1,3
E. Singleton,USA,1,2,5,5,4
E. Aryee,GHA,3,5,T3,4,DNS
