athlete,country,Loading_Race,Deadlift,Overhead_Medley,Titan_s_Toss,Stone_Medley
L. Stoltman,GBR,2,4,2,1,1
P. Kordiyaka,UKR,1,T2,1,4,3
N. Guardione,USA,3,T2,4,2,2
A. Flynn,GBR,4,1,3,3,4
E. Singleton,USA,5,DNS,DNS,DNS,DNS
